,text,predict,correct_class_prob,probab_0,probab_1
0,"simplistic , silly and tedious .",1,0.98900616,0.010993821,0.98900616
1,"it's so laddish and juvenile , only teenage boys could possibly find it funny .",1,0.93340844,0.06659158,0.93340844
2,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,1,0.9965062,0.0034937777,0.9965062
3,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .",1,0.99060327,0.009396689,0.99060327
4,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,1,0.99542844,0.004571533,0.99542844
5,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .",1,0.9962663,0.0037337292,0.9962663
6,about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,1,0.9936336,0.0063663716,0.9936336
7,not so much farcical as sour .,1,0.99418336,0.0058165994,0.99418336
8,unfortunately the story and the actors are served with a hack script .,1,0.9937943,0.006205681,0.9937943
9,"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",1,0.994352,0.0056480374,0.994352
10,a sentimental mess that never rings true .,1,0.9878395,0.012160405,0.9878395
11,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .",1,0.9949333,0.005066705,0.9949333
12,"interesting , but not compelling .",1,0.78536576,0.21463421,0.78536576
13,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",1,0.9969902,0.0030097864,0.9969902
14,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .",1,0.99685186,0.0031481734,0.99685186
15,there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,1,0.9857269,0.0142730335,0.9857269
16,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .",1,0.9770492,0.022950782,0.9770492
17,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !",1,0.5964242,0.40357578,0.5964242
18,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",1,0.9940598,0.005940235,0.9940598
19,this 100-minute movie only has about 25 minutes of decent material .,1,0.9841808,0.015819138,0.9841808
20,the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,1,0.902857,0.097142965,0.902857
21,"on its own , it's not very interesting . as a remake , it's a pale imitation .",1,0.9959357,0.004064267,0.9959357
22,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .,1,0.9941759,0.0058240993,0.9941759
23,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .",1,0.8110028,0.18899721,0.8110028
24,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .",1,0.99740404,0.0025959155,0.99740404
25,the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .,1,0.99133146,0.008668581,0.99133146
26,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender ó and i know this because i've seen 'jackass : the movie . ',1,0.99771774,0.0022823156,0.99771774
27,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",1,0.9953719,0.0046280767,0.9953719
28,"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here .",1,0.997658,0.0023419284,0.997658
29,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep .",1,0.9969024,0.0030976068,0.9969024
30,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",0,0.85919785,0.85919785,0.14080217
31,the action clichÈs just pile up .,1,0.99782443,0.0021756056,0.99782443
32,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",1,0.99350715,0.0064928196,0.99350715
33,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .,1,0.9948533,0.005146652,0.9948533
34,another useless recycling of a brutal mid-'70s american sports movie .,1,0.9973901,0.0026098916,0.9973901
35,i didn't laugh . i didn't smile . i survived .,1,0.94946694,0.050533086,0.94946694
36,"please , someone , stop eric schaeffer before he makes another film .",1,0.9326807,0.06731924,0.9326807
37,"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",1,0.9963238,0.003676206,0.9963238
38,". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",1,0.9913925,0.008607572,0.9913925
39,curling may be a unique sport but men with brooms is distinctly ordinary .,0,0.5928029,0.5928029,0.4071971
40,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set .",1,0.99672854,0.0032715097,0.99672854
41,there's no getting around the fact that this is revenge of the nerds revisited -- again .,1,0.95454776,0.045452252,0.95454776
42,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .",1,0.9874277,0.0125722615,0.9874277
43,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",1,0.99569356,0.0043064603,0.99569356
44,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins .",1,0.99741226,0.0025878046,0.99741226
45,"stinks from start to finish , like a wet burlap sack of gloom .",1,0.9977411,0.0022589162,0.9977411
46,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement .",1,0.99643385,0.003566167,0.99643385
47,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,1,0.9944839,0.005516149,0.9944839
48,the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ,1,0.99684876,0.0031512848,0.99684876
49,everything is off .,1,0.9729187,0.027081372,0.9729187
50,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",0,0.9563303,0.9563303,0.043669663
51,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",0,0.9890353,0.9890353,0.010964706
52,effective but too-tepid biopic,1,0.98892015,0.01107989,0.98892015
53,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",0,0.9766075,0.9766075,0.023392567
54,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",0,0.99604475,0.99604475,0.003955323
55,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,0,0.9971879,0.9971879,0.0028120857
56,offers that rare combination of entertainment and education .,0,0.9979382,0.9979382,0.0020617582
57,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,0,0.83981603,0.83981603,0.16018401
58,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,0.94571763,0.05428241,0.94571763
59,take care of my cat offers a refreshingly different slice of asian cinema .,0,0.9979995,0.9979995,0.0020005468
60,"this is a film well worth seeing , talking and singing heads and all .",0,0.99833965,0.99833965,0.0016603587
61,what really surprises about wisegirls is its low-key quality and genuine tenderness .,0,0.9978677,0.9978677,0.0021322472
