,text1,text2,predict,correct_class_prob,probab_0,probab_1
0,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,0,0.932357,0.932357,0.06764296
1,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,1,0.9828909,0.017109163,0.9828909
2,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,1,0.9848031,0.015196859,0.9848031
3,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,1,0.964733,0.03526704,0.964733
4,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,0,0.5851528,0.5851528,0.41484722
5,An old man with a package poses in front of an advertisement.,A man walks by an ad.,1,0.7808435,0.21915647,0.7808435
6,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,1,0.975184,0.024815956,0.975184
7,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,1,0.9483185,0.051681533,0.9483185
8,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,1,0.93545914,0.0645409,0.93545914
9,A land rover is being driven across a river.,A vehicle is crossing a river.,0,0.7885773,0.7885773,0.21142262
10,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,1,0.97511077,0.024889223,0.97511077
11,A man playing an electric guitar on stage.,A man playing banjo on the floor.,0,0.7538878,0.7538878,0.24611221
12,A man playing an electric guitar on stage.,A man playing guitar on stage.,0,0.9445722,0.9445722,0.055427767
13,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,0,0.7800998,0.7800998,0.21990027
14,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,1,0.9857399,0.014260166,0.9857399
15,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,1,0.9507595,0.049240462,0.9507595
16,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,0,0.9278124,0.9278124,0.07218758
17,A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,1,0.98239005,0.017609954,0.98239005
18,A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,0,0.8863378,0.8863378,0.11366213
19,A couple walk hand in hand down a street.,A couple is walking together.,1,0.5097272,0.49027282,0.5097272
20,A couple walk hand in hand down a street.,A couple is sitting on a bench.,1,0.8771884,0.12281163,0.8771884
21,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,1,0.9815439,0.018456092,0.9815439
22,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,0,0.8714591,0.8714591,0.12854086
23,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.,0,0.5821885,0.5821885,0.41781157
24,A man reads the paper in a bar with green lighting.,The man is inside.,1,0.9442288,0.055771183,0.9442288
25,A man reads the paper in a bar with green lighting.,The man is climbing a mountain.,1,0.9830021,0.016997844,0.9830021
26,Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,0,0.8882401,0.8882401,0.111759864
27,Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,1,0.9786629,0.02133716,0.9786629
28,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,0,0.9469042,0.9469042,0.05309584
29,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.,1,0.8340385,0.16596152,0.8340385
30,Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass,1,0.95107013,0.04892989,0.95107013
31,Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,1,0.9508597,0.04914032,0.9508597
32,During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,1,0.9385279,0.061472174,0.9385279
33,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.,0,0.9642447,0.9642447,0.035755284
34,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.,1,0.9588078,0.041192126,0.9588078
35,A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,1,0.7668953,0.23310475,0.7668953
36,A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.,1,0.9851751,0.014824954,0.9851751
37,Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,1,0.9697151,0.030284839,0.9697151
38,Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.,0,0.95468545,0.95468545,0.045314606
39,A man standing in front of a building on the phone as two men to the side pain on the side.,a guy near a building stands by two other men,0,0.5331827,0.5331827,0.46681735
40,A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall,1,0.937325,0.062674955,0.937325
41,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Girls are playing outdoors.,0,0.7195055,0.7195055,0.28049454
42,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.,1,0.5014568,0.49854323,0.5014568
43,People jump over a mountain crevasse on a rope.,People are jumping outside.,1,0.72879076,0.2712093,0.72879076
44,People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.,0,0.9108608,0.9108608,0.089139216
